9c4a0dd admin-01-configuring-model-fields
52a5968 admin-02-configuring-the-admin-settings
161c20d admin-03-more-config-options
e467fc9 class-based-views-01-adding-templates
5bffced class-based-views-02-the-templateview
2a4ddad class-based-views-03-showing-a-detail-template
3a4a5ab class-based-views-04-the-listview
3fe50e5 class-based-views-05-the-detailview
cd396dd class-based-views-06-the-formview
8096580 class-based-views-07-the-createview
5a3a9f4 data-models-01-first-model-and-migration
4a3cfbd data-models-02-updating-models
4efdf5d data-models-03-preparing-templates
abe120e data-models-04-rendering-queried-data
5380ae0 data-models-05-rendering-the-details-page
81a499c data-models-06-using-the-slug-and-updating-field-options
8b3bad4 data-models-07-aggregation-and-ordering
13ef56e data-models-zz-extra-files
334da0b deployment-01-serving-static-files-with-django
5b77f4a deployment-02-using-environment-variables
2db71fe deployment-03-deploying-with-elastic-beanstalk
652d96c deployment-04-connecting-postgresql
842391a deployment-05-serving-static-files-and-uploads-via-s3
f821731 deployment-zz-extra-files
2b0415d file-upload-00-starting-setup
0e39713 file-upload-01-storing-uploaded-files-naive-approach
22faf99 file-upload-02-adding-a-form-with-a-filefield
42bdffa file-upload-03-using-models-for-file-storage
f0ce8f0 file-upload-04-using-a-createview
91ceeb1 file-upload-05-serving-uploaded-files
1493eac forms-00-starting-setup
dee2d59 forms-01-adding-a-dummy-form
992bbfc forms-02-csrf-protection
c88af56 forms-03-handling-form-submission
2f739df forms-04-manual-form-validation
34f3a1d forms-05-using-the-django-form-class
0bb1e21 forms-06-customizing-the-form-controls
c8ee9ee forms-07-customizing-the-rendered-html
80bbf3f forms-08-adding-styling
443f0c3 forms-09-adding-more-form-controls
be24683 forms-10-storing-form-data-in-a-database
e63e199 forms-11-introducing-modelforms
43aca1f forms-12-configuring-the-modelform
4f85485 forms-13-saving-data-with-a-modelform
efcadce forms-14-class-based-views
1e12bd0 forms-15-finished
1178ce7 forms-zz-extra-files
1b0c751 master
7a28e94 prj-blog-uploads-sessions-01-serving-uploaded-files
03370a4 prj-blog-uploads-sessions-02-converting-views-to-class-based
13fc393 prj-blog-uploads-sessions-03-adding-a-comment-model
a03bb77 prj-blog-uploads-sessions-04-adding-a-comment-form
b1d2b03 prj-blog-uploads-sessions-05-styling-the-comment-form
9f53d86 prj-blog-uploads-sessions-06-handling-comment-form-submission
4630981 prj-blog-uploads-sessions-07-comment-form-validation-styles
ed40eca prj-blog-uploads-sessions-08-outputting-and-styling-comments
4010070 prj-blog-uploads-sessions-09-added-comments-to-admin
6ccaa04 prj-blog-uploads-sessions-10-managing-read-later-via-sessions
5d174f2 prj-blog-uploads-sessions-11-finishing-the-read-later-feature
10efc4c prj-blog-uploads-sessions-zz-extra-files
e8fe471 prj-data-models-01-added-models-and-relations
c93ab4c prj-data-models-02-migrations-and-admin
0be7e0d prj-data-models-03-configuring-admin-panel
6501cd1 prj-data-models-04-fetching-posts-for-starting-page
84b3faf prj-data-models-05-all-posts-and-single-post-page
3059207 prj-data-models-06-using-author-and-tags-data
40c1094 prj-data-models-zz-extra-files
eb4d56a prj-urls-views-templates-00-starting-setup
5d0a0d3 prj-urls-views-templates-01-adding-urls-and-views
1a1d655 prj-urls-views-templates-02-adding-first-templates
48d03da prj-urls-views-templates-03-adding-template-content-and-static-files
fb853a1 prj-urls-views-templates-04-adding-images
420a5f4 prj-urls-views-templates-05-linking-the-pages
2b25885 prj-urls-views-templates-06-adding-the-single-post-page
8703a3d prj-urls-views-templates-07-adding-dummy-data
38436b7 prj-urls-views-templates-08-adding-a-single-post-page
db9f310 prj-urls-views-templates-09-adding-a-404-page
5e57efb prj-urls-views-templates-zz-extra-files
e99a3ca relationships-01-adding-one-to-many
c48da88 relationships-02-managing-relations-in-admin
2d4332c relationships-03-adding-one-to-one
4db79c4 relationships-04-managing-one-to-one-in-admin
466868f relationships-05-many-to-many
a8f4612 relationships-zz-extra-files
3987250 sessions-00-starting-setup
30405e5 sessions-01-storing-data-in-sessions
a99ea9c sessions-02-using-session-data
6bf5276 sessions-03-safely-accessing-session-data
1c95ebb sessions-zz-extra-files
0348424 setup-zz-extra-files
691ac6f summary-01-urls-and-views
8f53d56 summary-02-templates-static-files
ce282d6 summary-03-key-dtl-featurs
e2f3c2a summary-04-adding-a-detail-page
91d6abe summary-05-dynamic-urls-in-templates
2fccd04 summary-06-using-template-inheritance
63c084f summary-07-getting-started-with-models
e3ed02d summary-08-querying-data
71492be summary-09-image-upload-and-serving
fcf6273 summary-10-relationship-one-to-many
566c5e2 summary-11-many-to-many
d16d783 summary-12-more-model-fields-and-outputting-data
538de94 summary-13-creating-a-model-form
09a4224 summary-14-finished
bda4e7b summary-zz-extra-files
7f135f5 templates-01-adding-and-registering-templates
4d8aa11 templates-02-rendering-templates
27c250a templates-03-template-variables-interpolation
e59b36b templates-04-exercise-solution
0b5a4c9 templates-05-filters
78f1d75 templates-06-the-for-tag
adfb94b templates-07-url-tag-dynamic-urls
e9a4ceb templates-08-if-tag
56aa17d templates-09-template-inheritance
25e9ab1 templates-10-exercise-solution
4b8476a templates-11-includes
e4956b0 templates-12-adding-static-files
1ef4b0b templates-13-adding-css-styling
8042a7f templates-zz-extra-files
15591af urls-views-01-adding-a-first-url-and-view
bb13fa8 urls-views-02-dynamic-path-segments
8a353a6 urls-views-03-exploring-path-converters
eeaa22d urls-views-04-redirecting
e423b06 urls-views-05-the-reverse-function
11c7c77 urls-views-06-returning-html-response
b3a97ef urls-views-07-practicing-urls-and-views
b167740 urls-views-zz-extra-files
